persons,area,uptake_pct
Males,Ayrshire and Arran,63.916015625
Males,Borders,69.47500627982919
Males,Dumfries and Galloway,68.06297329613392
Males,Fife,64.74852827045751
Males,Forth Valley,65.36214558004195
Males,Grampian,68.91567165108259
Males,Greater Glasgow and Clyde,59.69971746257481
Males,Highland,68.00348240816095
Males,Lanarkshire,61.4380722690304
Males,Lothian,64.76076494534298
Males,Orkney,67.20137496419363
Males,Shetland,71.8359034041315
Males,Tayside,66.11150604244948
Males,Western Isles,65.03694046066929
Males,Scotland,64.3109704434893
Females,Ayrshire and Arran,67.93383537768423
Females,Borders,74.43904355084204
Females,Dumfries and Galloway,71.98554290987389
Females,Fife,68.75364113020682
Females,Forth Valley,69.19986099648148
Females,Grampian,74.00542155066388
Females,Greater Glasgow and Clyde,65.03220303363703
Females,Highland,72.87935518379844
Females,Lanarkshire,65.67696558653606
Females,Lothian,69.78088485956374
Females,Orkney,72.96690970274817
Females,Shetland,76.88106796116504
Females,Tayside,71.37174641424728
Females,Western Isles,70.92342342342343
Females,Scotland,69.05391581576619
All persons,Ayrshire and Arran,65.98398808415565
All persons,Borders,71.9854986094557
All persons,Dumfries and Galloway,70.05949352225136
All persons,Fife,66.79009252299156
All persons,Forth Valley,67.31728907330567
All persons,Grampian,71.45044656529103
All persons,Greater Glasgow and Clyde,62.389812380925655
All persons,Highland,70.47284547985129
All persons,Lanarkshire,63.59814854638363
All persons,Lothian,67.30003498658847
All persons,Orkney,70.11477965140995
All persons,Shetland,74.30565869597505
All persons,Tayside,68.77470355731225
All persons,Western Isles,67.9274496792745
All persons,Scotland,66.71272640831262
