quarter,quarter_time,hb,hbt,hbtqf,cancer_type,cancer_type_qf,hbqf,referrals_standard,referrals,referrals_standard_qf,referrals_standard_qf_values,referrals_treated_standard,referrals_treated,referrals_treated_qf,referrals_treated_qf_values
2012Q1,2012 Q1,S08000015,S08000015,NA,Breast,NA,NA,31day_standard,78,31day_standard_qf,NA,within31days,78,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Breast,NA,NA,62day_standard,52,62day_standard_qf,NA,within62days,52,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Cervical,NA,NA,31day_standard,4,31day_standard_qf,NA,within31days,4,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Cervical,NA,NA,62day_standard,2,62day_standard_qf,NA,within62days,2,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Colorectal,NA,NA,31day_standard,53,31day_standard_qf,NA,within31days,53,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Colorectal,NA,NA,62day_standard,31,62day_standard_qf,NA,within62days,29,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Head & Neck,NA,NA,31day_standard,11,31day_standard_qf,NA,within31days,11,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Head & Neck,NA,NA,62day_standard,2,62day_standard_qf,NA,within62days,2,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Lung,NA,NA,31day_standard,52,31day_standard_qf,NA,within31days,52,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Lung,NA,NA,62day_standard,34,62day_standard_qf,NA,within62days,33,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Lymphoma,NA,NA,31day_standard,25,31day_standard_qf,NA,within31days,25,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Lymphoma,NA,NA,62day_standard,10,62day_standard_qf,NA,within62days,9,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Melanoma,NA,NA,31day_standard,15,31day_standard_qf,NA,within31days,15,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Melanoma,NA,NA,62day_standard,2,62day_standard_qf,NA,within62days,2,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Ovarian,NA,NA,31day_standard,6,31day_standard_qf,NA,within31days,6,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Ovarian,NA,NA,62day_standard,2,62day_standard_qf,NA,within62days,2,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Upper GI,NA,NA,31day_standard,26,31day_standard_qf,NA,within31days,26,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Upper GI,NA,NA,62day_standard,22,62day_standard_qf,NA,within62days,22,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Urological,NA,NA,31day_standard,65,31day_standard_qf,NA,within31days,63,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000015,NA,Urological,NA,NA,62day_standard,12,62day_standard_qf,NA,within62days,11,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000017,NA,Breast,NA,NA,31day_standard,2,31day_standard_qf,NA,within31days,2,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000017,NA,Breast,NA,NA,62day_standard,2,62day_standard_qf,NA,within62days,2,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000020,NA,Lung,NA,NA,31day_standard,1,31day_standard_qf,NA,within31days,1,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000020,NA,Lung,NA,NA,62day_standard,1,62day_standard_qf,NA,within62days,1,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Breast,NA,NA,31day_standard,8,31day_standard_qf,NA,within31days,8,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Breast,NA,NA,62day_standard,5,62day_standard_qf,NA,within62days,3,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Cervical,NA,NA,31day_standard,1,31day_standard_qf,NA,within31days,1,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Cervical,NA,NA,62day_standard,1,62day_standard_qf,NA,within62days,1,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Colorectal,NA,NA,31day_standard,3,31day_standard_qf,NA,within31days,2,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Colorectal,NA,NA,62day_standard,1,62day_standard_qf,NA,within62days,1,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Head & Neck,NA,NA,31day_standard,6,31day_standard_qf,NA,within31days,5,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Head & Neck,NA,NA,62day_standard,1,62day_standard_qf,NA,within62days,1,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Lung,NA,NA,31day_standard,15,31day_standard_qf,NA,within31days,15,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Lung,NA,NA,62day_standard,7,62day_standard_qf,NA,within62days,7,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Melanoma,NA,NA,31day_standard,2,31day_standard_qf,NA,within31days,2,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Melanoma,NA,NA,62day_standard,1,62day_standard_qf,NA,within62days,0,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Ovarian,NA,NA,31day_standard,6,31day_standard_qf,NA,within31days,6,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Ovarian,NA,NA,62day_standard,3,62day_standard_qf,NA,within62days,2,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Upper GI,NA,NA,31day_standard,16,31day_standard_qf,NA,within31days,16,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Upper GI,NA,NA,62day_standard,6,62day_standard_qf,NA,within62days,5,within62days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Urological,NA,NA,31day_standard,1,31day_standard_qf,NA,within31days,1,within31days_qf,NA
2012Q1,2012 Q1,S08000015,S08000031,NA,Urological,NA,NA,62day_standard,1,62day_standard_qf,NA,within62days,1,within62days_qf,NA
