Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
2012Q1,S08000015,S08000015,NA,Breast,NA,78,NA,78,NA
2012Q1,S08000015,S08000015,NA,Cervical,NA,4,NA,4,NA
2012Q1,S08000015,S08000015,NA,Colorectal,NA,53,NA,53,NA
2012Q1,S08000015,S08000015,NA,Head & Neck,NA,11,NA,11,NA
2012Q1,S08000015,S08000015,NA,Lung,NA,52,NA,52,NA
2012Q1,S08000015,S08000015,NA,Lymphoma,NA,25,NA,25,NA
2012Q1,S08000015,S08000015,NA,Melanoma,NA,15,NA,15,NA
2012Q1,S08000015,S08000015,NA,Ovarian,NA,6,NA,6,NA
2012Q1,S08000015,S08000015,NA,Upper GI,NA,26,NA,26,NA
2012Q1,S08000015,S08000015,NA,Urological,NA,65,NA,63,NA
2012Q1,S08000015,S08000017,NA,Breast,NA,2,NA,2,NA
2012Q1,S08000015,S08000020,NA,Lung,NA,1,NA,1,NA
2012Q1,S08000015,S08000031,NA,Breast,NA,8,NA,8,NA
2012Q1,S08000015,S08000031,NA,Cervical,NA,1,NA,1,NA
2012Q1,S08000015,S08000031,NA,Colorectal,NA,3,NA,2,NA
2012Q1,S08000015,S08000031,NA,Head & Neck,NA,6,NA,5,NA
2012Q1,S08000015,S08000031,NA,Lung,NA,15,NA,15,NA
2012Q1,S08000015,S08000031,NA,Melanoma,NA,2,NA,2,NA
2012Q1,S08000015,S08000031,NA,Ovarian,NA,6,NA,6,NA
2012Q1,S08000015,S08000031,NA,Upper GI,NA,16,NA,16,NA
2012Q1,S08000015,S08000031,NA,Urological,NA,1,NA,1,NA
2012Q1,S08000015,SB0801,NA,Lung,NA,6,NA,6,NA
2012Q1,S08000016,S08000016,NA,Breast,NA,16,NA,16,NA
2012Q1,S08000016,S08000016,NA,Cervical,NA,1,NA,1,NA
2012Q1,S08000016,S08000016,NA,Colorectal,NA,18,NA,18,NA
2012Q1,S08000016,S08000016,NA,Head & Neck,NA,2,NA,2,NA
2012Q1,S08000016,S08000016,NA,Lung,NA,19,NA,19,NA
2012Q1,S08000016,S08000016,NA,Lymphoma,NA,7,NA,7,NA
2012Q1,S08000016,S08000016,NA,Melanoma,NA,3,NA,3,NA
2012Q1,S08000016,S08000016,NA,Ovarian,NA,3,NA,3,NA
2012Q1,S08000016,S08000016,NA,Upper GI,NA,10,NA,10,NA
2012Q1,S08000016,S08000016,NA,Urological,NA,21,NA,21,NA
2012Q1,S08000016,S08000024,NA,Breast,NA,1,NA,1,NA
2012Q1,S08000016,S08000024,NA,Colorectal,NA,2,NA,2,NA
2012Q1,S08000016,S08000024,NA,Head & Neck,NA,2,NA,2,NA
2012Q1,S08000016,S08000024,NA,Lung,NA,6,NA,6,NA
2012Q1,S08000016,S08000024,NA,Melanoma,NA,1,NA,1,NA
2012Q1,S08000016,S08000024,NA,Ovarian,NA,1,NA,1,NA
2012Q1,S08000016,S08000024,NA,Upper GI,NA,2,NA,2,NA
2012Q1,S08000016,S08000024,NA,Urological,NA,3,NA,3,NA
2012Q1,S08000017,S08000017,NA,Breast,NA,20,NA,20,NA
2012Q1,S08000017,S08000017,NA,Colorectal,NA,33,NA,31,NA
2012Q1,S08000017,S08000017,NA,Head & Neck,NA,3,NA,3,NA
2012Q1,S08000017,S08000017,NA,Lung,NA,17,NA,17,NA
2012Q1,S08000017,S08000017,NA,Lymphoma,NA,10,NA,10,NA
2012Q1,S08000017,S08000017,NA,Melanoma,NA,4,NA,4,NA
2012Q1,S08000017,S08000017,NA,Ovarian,NA,4,NA,4,NA
2012Q1,S08000017,S08000017,NA,Upper GI,NA,18,NA,18,NA
2012Q1,S08000017,S08000017,NA,Urological,NA,29,NA,29,NA
