Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
2012Q1,S08000015,NA,S08000015,Breast,NA,52,NA,52,NA
2012Q1,S08000015,NA,S08000015,Cervical,NA,2,NA,2,NA
2012Q1,S08000015,NA,S08000015,Colorectal,NA,31,NA,29,NA
2012Q1,S08000015,NA,S08000015,Head & Neck,NA,2,NA,2,NA
2012Q1,S08000015,NA,S08000015,Lung,NA,34,NA,33,NA
2012Q1,S08000015,NA,S08000015,Lymphoma,NA,10,NA,9,NA
2012Q1,S08000015,NA,S08000015,Melanoma,NA,2,NA,2,NA
2012Q1,S08000015,NA,S08000015,Ovarian,NA,2,NA,2,NA
2012Q1,S08000015,NA,S08000015,Upper GI,NA,22,NA,22,NA
2012Q1,S08000015,NA,S08000015,Urological,NA,12,NA,11,NA
2012Q1,S08000015,NA,S08000017,Breast,NA,2,NA,2,NA
2012Q1,S08000015,NA,S08000020,Lung,NA,1,NA,1,NA
2012Q1,S08000015,NA,S08000031,Breast,NA,5,NA,3,NA
2012Q1,S08000015,NA,S08000031,Cervical,NA,1,NA,1,NA
2012Q1,S08000015,NA,S08000031,Colorectal,NA,1,NA,1,NA
2012Q1,S08000015,NA,S08000031,Head & Neck,NA,1,NA,1,NA
2012Q1,S08000015,NA,S08000031,Lung,NA,7,NA,7,NA
2012Q1,S08000015,NA,S08000031,Melanoma,NA,1,NA,0,NA
2012Q1,S08000015,NA,S08000031,Ovarian,NA,3,NA,2,NA
2012Q1,S08000015,NA,S08000031,Upper GI,NA,6,NA,5,NA
2012Q1,S08000015,NA,S08000031,Urological,NA,1,NA,1,NA
2012Q1,S08000015,NA,SB0801,Lung,NA,2,NA,2,NA
2012Q1,S08000016,NA,S08000016,Breast,NA,6,NA,6,NA
2012Q1,S08000016,NA,S08000016,Cervical,NA,1,NA,1,NA
2012Q1,S08000016,NA,S08000016,Colorectal,NA,13,NA,13,NA
2012Q1,S08000016,NA,S08000016,Head & Neck,NA,1,NA,1,NA
2012Q1,S08000016,NA,S08000016,Lung,NA,13,NA,13,NA
2012Q1,S08000016,NA,S08000016,Lymphoma,NA,3,NA,3,NA
2012Q1,S08000016,NA,S08000016,Melanoma,NA,3,NA,3,NA
2012Q1,S08000016,NA,S08000016,Ovarian,NA,2,NA,2,NA
2012Q1,S08000016,NA,S08000016,Upper GI,NA,6,NA,6,NA
2012Q1,S08000016,NA,S08000016,Urological,NA,13,NA,13,NA
2012Q1,S08000016,NA,S08000024,Breast,NA,1,NA,1,NA
2012Q1,S08000016,NA,S08000024,Colorectal,NA,2,NA,1,NA
2012Q1,S08000016,NA,S08000024,Head & Neck,NA,1,NA,1,NA
2012Q1,S08000016,NA,S08000024,Lung,NA,3,NA,3,NA
2012Q1,S08000016,NA,S08000024,Melanoma,NA,1,NA,1,NA
2012Q1,S08000016,NA,S08000024,Upper GI,NA,1,NA,1,NA
2012Q1,S08000016,NA,S08000024,Urological,NA,1,NA,1,NA
2012Q1,S08000017,NA,S08000017,Breast,NA,8,NA,8,NA
2012Q1,S08000017,NA,S08000017,Colorectal,NA,20,NA,20,NA
2012Q1,S08000017,NA,S08000017,Head & Neck,NA,2,NA,2,NA
2012Q1,S08000017,NA,S08000017,Lung,NA,12,NA,12,NA
2012Q1,S08000017,NA,S08000017,Lymphoma,NA,2,NA,2,NA
2012Q1,S08000017,NA,S08000017,Melanoma,NA,3,NA,3,NA
2012Q1,S08000017,NA,S08000017,Ovarian,NA,2,NA,2,NA
2012Q1,S08000017,NA,S08000017,Upper GI,NA,17,NA,17,NA
2012Q1,S08000017,NA,S08000017,Urological,NA,17,NA,17,NA
